| Garras-de-Monstro | alchemist 
| Garras-de-Monstro | Anti-Mage 
| Garras-de-Monstro | Axe 
| Garras-de-Monstro | Batrider 
| Garras-de-Monstro | Beastmaster 
| Garras-de-Monstro | Bloodseeker 
| Garras-de-Monstro | Bounty_Hunter 
| Garras-de-Monstro | alchemist 
| Garras-de-Monstro | Broodmother 
| Garras-de-Monstro | Bristleback 
| Garras-de-Monstro | Clinkz 
| Garras-de-Monstro | Crystal_Maiden 
| Garras-de-Monstro | Dark_Seer 
| Garras-de-Monstro | Dark_Willow 
| Garras-de-Monstro | Dazzle 
| Garras-de-Monstro | Death_Prophet 
| Garras-de-Monstro | Dragon_Knight 
| Garras-de-Monstro | Drow_Ranger 
| Garras-de-Monstro | Earthshaker 
| Garras-de-Monstro | Elder_Titan 
| Garras-de-Monstro | Enchantress 
| Garras-de-Monstro | Enigma 
| Garras-de-Monstro | Faceless_Void 
| Garras-de-Monstro | Grimstroke 
| Garras-de-Monstro | Gyrocopter 
| Garras-de-Monstro | Hoodwink 
| Garras-de-Monstro | Invoker 
| Garras-de-Monstro | Jakiro 
| Garras-de-Monstro | Juggernaut 
| Garras-de-Monstro | Keeper_of_the_Light 
| Garras-de-Monstro | Kez 
| Garras-de-Monstro | Kunkka 
| Garras-de-Monstro | Leshrac 
| Garras-de-Monstro | Lina 
| Garras-de-Monstro | Lion 
| Garras-de-Monstro | Lifestealer 
| Garras-de-Monstro | Luna 
| Garras-de-Monstro | Lycan 
| Garras-de-Monstro | Magnus 
| Garras-de-Monstro | Mars 
| Garras-de-Monstro | Medusa 
| Garras-de-Monstro | Meepo 
| Garras-de-Monstro | Muerta 
| Garras-de-Monstro | Morphling 
| Garras-de-Monstro | Naga_Siren 
| Garras-de-Monstro | Nature’s_Prophet 
| Garras-de-Monstro | Night_Stalker 
| Garras-de-Monstro | Oracle 
| Garras-de-Monstro | Outworld_Destroyer 
| Garras-de-Monstro | Phantom_Assassin 
| Garras-de-Monstro | Phantom_Lancer 
| Garras-de-Monstro | Pugna 
| Garras-de-Monstro | Razor 
| Garras-de-Monstro | Riki 
| Garras-de-Monstro | Ringmaster 
| Garras-de-Monstro | Shadow_Demon 
| Garras-de-Monstro | Shadow_Fiend 
| Garras-de-Monstro | Shadow_Shaman 
| Garras-de-Monstro | Silencer 
| Garras-de-Monstro | Slardar 
| Garras-de-Monstro | Slark 
| Garras-de-Monstro | Spectre 
| Garras-de-Monstro | Snapfire 
| Garras-de-Monstro | Spirit_Breaker 
| Garras-de-Monstro | Storm_Spirit 
| Garras-de-Monstro | Sven 
| Garras-de-Monstro | Templar_Assassin 
| Garras-de-Monstro | Terrorblade 
| Garras-de-Monstro | Tidehunter 
| Garras-de-Monstro | Tinker 
| Garras-de-Monstro | Tiny 
| Garras-de-Monstro | Troll_Warlord 
| Garras-de-Monstro | Vengeful_Spirit 
| Garras-de-Monstro | Tusk 
| Garras-de-Monstro | Venomancer 
| Garras-de-Monstro | Viper 
| Garras-de-Monstro | Visage 
| Garras-de-Monstro | Void_Spirit 
| Garras-de-Monstro | Weaver 
| Garras-de-Monstro | Windranger 
| Garras-de-Monstro | Winter_Wyvern 
| Garras-de-Monstro | Witch_Doctor 
| Garras-de-Monstro | Wraith_King 
