| Chifretrovao-de-kirin | Brewmaster
| Chifretrovao-de-kirin | Drow_Ranger
| Chifretrovao-de-kirin | Enigma
| Chifretrovao-de-kirin | Juggernaut
| Chifretrovao-de-kirin | Lifestealer
| Chifretrovao-de-kirin | Lycan
| Chifretrovao-de-kirin | Magnus
| Chifretrovao-de-kirin | Muerta
| Chifretrovao-de-kirin | Riki
| Chifretrovao-de-kirin | Ringmaster
| Chifretrovao-de-kirin | Spectre
| Chifretrovao-de-kirin | Templar_Assassin
| Chifretrovao-de-kirin | Tidehunter
| Chifretrovao-de-kirin | Viper
| Gema-grande-de-anciao-trovao | Anti-Mage
| Gema-grande-de-anciao-trovao | Enigma
| Gema-grande-de-anciao-trovao | Grimstroke
| Gema-grande-de-anciao-trovao | Juggernaut
| Gema-grande-de-anciao-trovao | Lifestealer
| Gema-grande-de-anciao-trovao | Lycan
| Gema-grande-de-anciao-trovao | Riki
| Gema-grande-de-anciao-trovao | Spectre
| Gema-grande-de-anciao-trovao | Tiny
| Gema-grande-de-anciao-trovao | Viper
| Chifretrovao-de-kirin | Brewmaster
| Chifretrovao-de-kirin | Drow_Ranger
| Chifretrovao-de-kirin | Enigma
| Chifretrovao-de-kirin | Juggernaut
| Chifretrovao-de-kirin | Lifestealer
| Chifretrovao-de-kirin | Lycan
| Chifretrovao-de-kirin | Magnus
| Chifretrovao-de-kirin | Muerta
| Chifretrovao-de-kirin | Riki
| Chifretrovao-de-kirin | Ringmaster
| Chifretrovao-de-kirin | Spectre
| Chifretrovao-de-kirin | Templar_Assassin
| Chifretrovao-de-kirin | Tidehunter
| Chifretrovao-de-kirin | Viper
| juba-de-kirin | Anti-Mage
| juba-de-kirin | Brewmaster
| juba-de-kirin | Lone_Druid
| juba-de-kirin | Drow_Ranger
| juba-de-kirin | Enigma
| juba-de-kirin | Grimstroke
| juba-de-kirin | Kez
| juba-de-kirin | Muerta
| juba-de-kirin | Shadow_Shaman
| juba-de-kirin | Spectre
| juba-de-kirin | Sven
| juba-de-kirin | Templar_Assassin
| juba-de-kirin | Tiny
| juba-de-kirin | Tusk
| juba-de-kirin | Viper
